Province;Mun_City Code;Municipal_City;PRC_initial_selection;Number of Barangay;Population; Household_size ;" Roof_iron_alu_conc_perc
 "; Wall_parly_concrete_perc ; P4_perc  ; poverty ;income_class; vulnerability_index ; houses_totaldamage ; houses_damage ; severity_index ; priority_index 
Apayao;PH148102000;Conner;1;21;26051; 5.4 ; 0.93 ; 0.46 ; 0.06 ; 0.56 ;2; 4.7 ; 0.03 ; 0.89 ; 2.2 ; 3.5 
Apayao;PH148104000;Kabugao (Capital);1;21;15537; 5.0 ; 0.85 ; 0.36 ; 0.08 ; 0.64 ;1; 4.2 ; 0.03 ; 0.41 ; 1.6 ; 2.9 
Apayao;PH148105000;Luna;1;22;19063; 5.0 ; 0.79 ; 0.61 ; 0.06 ; 0.33 ;2; 3.9 ; 0.02 ; 0.95 ; 1.8 ; 2.8 
Apayao;PH148107000;Santa Marcela;1;13;13613; 5.0 ; 0.86 ; 0.65 ; 0.06 ; 0.33 ;4; 5.0 ; 0.04 ; 0.43 ; 1.8 ; 3.4 
Cagayan;PH021506000;Baggao;1;48;82782; 4.6 ; 0.95 ; 0.57 ; 0.03 ; 0.22 ;1; 2.0 ; 0.05 ; 0.24 ; 1.6 ; 1.8 
Cagayan;PH021512000;Enrile;1;22;35834; 5.3 ; 0.83 ; 0.71 ; 0.03 ; 0.20 ;3; 2.6 ; 0.20 ; 1.00 ; 4.5 ; 3.6 
Cagayan;PH021517000;Lasam;1;30;39135; 4.5 ; 0.97 ; 0.66 ; 0.03 ; 0.14 ;3; 2.3 ; 0.02 ; 0.33 ; 1.4 ; 1.9 
Cagayan;PH021519000;Peñablanca;1;24;48584; 5.3 ; 0.89 ; 0.63 ; 0.03 ; 0.20 ;1; 1.7 ; 0.11 ; 0.87 ; 3.4 ; 2.5 
Cagayan;PH021529000;Tuguegarao City (Capital);1;49;153502; 5.2 ; 0.97 ; 0.87 ; 0.01 ; 0.09 ;3; 1.0 ; 0.22 ; 0.78 ; 4.2 ; 2.6 
Isabela;PH023118000;Delfin Albano (Magsaysay);1;29;26614; 4.5 ; 0.88 ; 0.75 ; 0.03 ; 0.16 ;4; 3.0 ; 0.21 ; 0.79 ; 4.2 ; 3.6 
Isabela;PH023133000;San Pablo;1;17;25384; 5.7 ; 0.92 ; 0.79 ; 0.05 ; 0.24 ;2; 3.2 ; 0.04 ; 0.37 ; 1.7 ; 2.5 
Isabela;PH023134000;Santa Maria;1;20;25382; 6.0 ; 0.74 ; 0.61 ; 0.05 ; 0.31 ;4; 4.5 ; 0.26 ; 1.00 ; 5.0 ; 4.7 
Isabela;PH023136000;Santo Tomas;1;27;23005; 5.0 ; 0.94 ; 0.70 ; 0.04 ; 0.23 ;4; 3.6 ; 0.12 ; 0.47 ; 2.8 ; 3.2 
Kalinga;PH143201000;Balbalan;1;14;12195; 5.7 ; 0.94 ; 0.23 ; 0.08 ; 0.34 ;3; 5.0 ; 0.01 ; 0.14 ; 1.0 ; 3.0 
Kalinga;PH143213000;City of Tabuk (Capital);1;42;110642; 5.4 ; 0.92 ; 0.69 ; 0.04 ; 0.09 ;5; 2.8 ; 0.03 ; 0.28 ; 1.5 ; 2.2 
Kalinga;PH143209000;Pinukpuk;1;23;32026; 5.8 ; 0.82 ; 0.34 ; 0.07 ; 0.32 ;1; 3.0 ; 0.06 ; 0.69 ; 2.5 ; 2.8 
Kalinga;PH143211000;Rizal (Liwan);1;14;17038; 5.0 ; 0.77 ; 0.57 ; 0.05 ; 0.09 ;4; 2.8 ; 0.15 ; 0.71 ; 3.5 ; 3.2 
